,Entity,Time,key,AlarmStatus
32,1463_2361119_2312DB_3,2021-01-14 00:00:00.000,1463_2361119_2312DB_3_1463_2361119_2312DB_3_CACB-AB-BE,High Flowline Pressure
33,1463_2361119_2312DB_3,2025-10-22 00:00:00.000,1463_2361119_2312DB_3_1463_2361119_2312DB_3_CACF-BA-CC,High Downhole Gauge Pressure
34,14623_2361119_2312BB_3,2021-01-14 00:00:00.000,14623_2361119_2312BB_3_14623_2361119_2312BB_3_CACB-AB-BE,High Flowline Pressure
35,14623_2361119_2312BB_3,2025-10-19 00:00:00.000,14623_2361119_2312BB_3_14623_2361119_2312BB_3_CACF-BA-BJ,High Downhole Gauge Pressure
36,14623_2361119_2312BB_3,2025-10-22 00:00:00.000,14623_2361119_2312BB_3_14623_2361119_2312BB_3_CACF-BA-CC,Derived Well Run Status: Stopped
37,71215_2361119_2312DI_3,2021-04-05 00:00:00.000,71215_2361119_2312DI_3_71215_2361119_2312DI_3_CACB-AE-AF,Multi Points Injection
38,71215_2361119_2312DI_3,2021-04-06 00:00:00.000,71215_2361119_2312DI_3_71215_2361119_2312DI_3_CACB-AE-AG,High Difference Between Actual And Optimized Liquid Rate
39,71215_2361119_2312DI_3,2021-05-04 00:00:00.000,71215_2361119_2312DI_3_71215_2361119_2312DI_3_CACB-AF-AE,Low Water Rate
40,71215_2361119_2312DI_3,2021-06-24 00:00:00.000,71215_2361119_2312DI_3_71215_2361119_2312DI_3_CACB-AG-CE,Low Injection Rate
41,7123_2361119_2312DE_3,2021-06-04 00:00:00.000,7123_2361119_2312DE_3_7123_2361119_2312DE_3_CACB-AG-AE,Low Injection Rate
42,7123_2361119_2312DE_3,2022-09-23 00:00:00.000,7123_2361119_2312DE_3_7123_2361119_2312DE_3_CACC-AJ-CD,Failed To Set Optimized Qgi
43,7123_2361119_2312DE_3,2022-10-17 00:00:00.000,7123_2361119_2312DE_3_7123_2361119_2312DE_3_CACC-BA-BH,High Difference Between Actual And Optimized Liquid Rate
44,7123_2361119_2312DE_3,2024-02-11 00:00:00.000,7123_2361119_2312DE_3_7123_2361119_2312DE_3_CACE-AC-BB,Derived Well Run Status: Stopped
45,7123_2361119_2312DE_3,2025-10-22 00:00:00.000,7123_2361119_2312DE_3_7123_2361119_2312DE_3_CACF-BA-CC,Derived Well Run Status: Stopped
46,51916_2361119_2312BE_3,2021-06-16 00:00:00.000,51916_2361119_2312BE_3_51916_2361119_2312BE_3_CACB-AG-BG,Derived Well Run Status: Stopped
47,51916_2361119_2312BE_3,2024-03-20 00:00:00.000,51916_2361119_2312BE_3_51916_2361119_2312BE_3_CACE-AD-CA,Low Flowing Differential Pressure
48,51916_2312_BD_3,2021-06-16 00:00:00.000,51916_2312_BD_3_51916_2312_BD_3_CACB-AG-BG,Derived Well Run Status: Stopped
49,BAA/AI-BG-AGI-AG23G,2021-06-23 00:00:00.000,BAA/AI-BG-AGI-AG23G_BAA/AI-BG-AGI-AG23G_CACB-AG-CD,Multi Points Injection
50,712B,2024-02-24 00:00:00.000,712B_712B_CACE-AC-CE,Liquid Loading Critical Rate Alert
51,51916_2312_BD_3,2024-03-20 00:00:00.000,51916_2312_BD_3_51916_2312_BD_3_CACE-AD-CA,Low Flowing Differential Pressure
52,7122351212AC,2024-07-10 00:00:00.000,7122351212AC_7122351212AC_CACE-AH-BA,Derived Well Run Status: Stopped
53,7122351212AD,2024-07-10 00:00:00.000,7122351212AD_7122351212AD_CACE-AH-BA,Derived Well Run Status: Stopped
54,7122351212AE,2024-07-10 00:00:00.000,7122351212AE_7122351212AE_CACE-AH-BA,Derived Well Run Status: Stopped
55,7122351212AF,2024-07-10 00:00:00.000,7122351212AF_7122351212AF_CACE-AH-BA,Derived Well Run Status: Stopped
56,7122351212AB,2024-07-17 00:00:00.000,7122351212AB_7122351212AB_CACE-AH-BH,Liquid Loading Critical Rate Alert
57,7122351212AC,2024-07-17 00:00:00.000,7122351212AC_7122351212AC_CACE-AH-BH,Liquid Loading Critical Rate Alert
58,7122351212AD,2024-07-17 00:00:00.000,7122351212AD_7122351212AD_CACE-AH-BH,Multi Points Injection
59,7122351212AE,2024-07-17 00:00:00.000,7122351212AE_7122351212AE_CACE-AH-BH,Liquid Loading Critical Rate Alert
60,7122351212AB,2024-07-18 00:00:00.000,7122351212AB_7122351212AB_CACE-AH-BI,Failed To Set Optimized Qgi
61,7122351212AC,2024-07-18 00:00:00.000,7122351212AC_7122351212AC_CACE-AH-BI,Failed To Set Optimized Qgi
62,7122351212AD,2024-07-18 00:00:00.000,7122351212AD_7122351212AD_CACE-AH-BI,Failed To Set Optimized Qgi
63,7122351212AE,2024-07-18 00:00:00.000,7122351212AE_7122351212AE_CACE-AH-BI,Failed To Set Optimized Qgi
64,7122351212AF,2024-07-19 00:00:00.000,7122351212AF_7122351212AF_CACE-AH-BJ,Liquid Loading Critical Rate Alert
65,7122351212AD,2024-07-20 00:00:00.000,7122351212AD_7122351212AD_CACE-AH-CA,High Difference Between Actual And Optimized Liquid Rate
66,7122351212AB,2024-07-23 00:00:00.000,7122351212AB_7122351212AB_CACE-AH-CD,High Difference Between Actual And Optimized Liquid Rate
67,7122351212AD,2024-07-23 00:00:00.000,7122351212AD_7122351212AD_CACE-AH-CD,Liquid Loading Critical Rate Alert
68,7122351212AE,2024-07-25 00:00:00.000,7122351212AE_7122351212AE_CACE-AH-CF,High Difference Between Actual And Optimized Liquid Rate
69,7122351212AF,2024-07-25 00:00:00.000,7122351212AF_7122351212AF_CACE-AH-CF,High Difference Between Actual And Optimized Liquid Rate
70,712B,2024-09-24 00:00:00.000,712B_712B_CACE-AJ-CE,Derived Well Run Status: Stopped
71,712B,2024-10-10 00:00:00.000,712B_712B_CACE-BA-BA,Communication Status
72,BAA/AI-BG-AGI-AG23G,2025-01-18 00:00:00.000,BAA/AI-BG-AGI-AG23G_BAA/AI-BG-AGI-AG23G_CACF-AB-BI,Failed To Set Optimized Qgi
73,BAA/AI-BG-AGI-AG23G,2025-01-23 00:00:00.000,BAA/AI-BG-AGI-AG23G_BAA/AI-BG-AGI-AG23G_CACF-AB-CD,High Casing Pressure
74,7122351212AF,2025-01-24 00:00:00.000,7122351212AF_7122351212AF_CACF-AB-CE,Actual Injection Depth Not Equal To Optimized Injection Depth
75,51916_2361119_2312BH_3,2021-06-16 00:00:00.000,51916_2361119_2312BH_3_51916_2361119_2312BH_3_CACB-AG-BG,Derived Well Run Status: Stopped
76,51916_2361119_2312BH_3,2024-03-20 00:00:00.000,51916_2361119_2312BH_3_51916_2361119_2312BH_3_CACE-AD-CA,Low Flowing Differential Pressure
77,51916_37319_2312BJ_3,2021-08-10 00:00:00.000,51916_37319_2312BJ_3_51916_37319_2312BJ_3_CACB-AI-BA,Derived Well Run Status: Stopped
78,51916_37319_2312BJ_3,2024-03-20 00:00:00.000,51916_37319_2312BJ_3_51916_37319_2312BJ_3_CACE-AD-CA,Low Flowing Differential Pressure
79,51916_37319_2312CA_3,2021-08-11 00:00:00.000,51916_37319_2312CA_3_51916_37319_2312CA_3_CACB-AI-BB,Derived Well Run Status: Stopped
80,51916_37319_2312CA_3,2024-03-20 00:00:00.000,51916_37319_2312CA_3_51916_37319_2312CA_3_CACE-AD-CA,Low Flowing Differential Pressure
81,51916_37319_2312CB_3,2021-08-11 00:00:00.000,51916_37319_2312CB_3_51916_37319_2312CB_3_CACB-AI-BB,Derived Well Run Status: Stopped
82,51916_37319_2312CB_3,2024-03-20 00:00:00.000,51916_37319_2312CB_3_51916_37319_2312CB_3_CACE-AD-CA,Low Flowing Differential Pressure
83,51916_37319_2312CD_3,2021-08-11 00:00:00.000,51916_37319_2312CD_3_51916_37319_2312CD_3_CACB-AI-BB,Derived Well Run Status: Stopped
84,51916_37319_2312CD_3,2024-03-20 00:00:00.000,51916_37319_2312CD_3_51916_37319_2312CD_3_CACE-AD-CA,Low Flowing Differential Pressure
85,16712_2361119_2312BG_3,2023-03-31 00:00:00.000,16712_2361119_2312BG_3_16712_2361119_2312BG_3_CACD-AD-DB,High Maximum Tubing Head Pressure
86,16712_2361119_2312BG_3,2025-10-20 00:00:00.000,16712_2361119_2312BG_3_16712_2361119_2312BG_3_CACF-BA-CA,High Flowline Pressure
87,16712_2361119_2312BG_3,2025-10-21 00:00:00.000,16712_2361119_2312BG_3_16712_2361119_2312BG_3_CACF-BA-CB,Low Gas Rate
88,16712_2361119_2312BG_3,2025-10-22 00:00:00.000,16712_2361119_2312BG_3_16712_2361119_2312BG_3_CACF-BA-CC,Low Gas Rate
89,181812_1221611_2312AD_5,2023-04-24 00:00:00.000,181812_1221611_2312AD_5_181812_1221611_2312AD_5_CACD-AE-CE,Gearbox Unbalance
90,181812_1221611_2312AD_5,2023-05-16 00:00:00.000,181812_1221611_2312AD_5_181812_1221611_2312AD_5_CACD-AF-BG,severe Pump off (100)
91,181812_1221611_2312AD_5,2023-10-19 00:00:00.000,181812_1221611_2312AD_5_181812_1221611_2312AD_5_CACD-BA-BJ,High Beam Load
92,181812_1816153_2312BI_3,2023-06-06 00:00:00.000,181812_1816153_2312BI_3_181812_1816153_2312BI_3_CACD-AG-AG,Rod String Unbalance
93,1467_2361119_2312DC_3,2023-11-16 00:00:00.000,1467_2361119_2312DC_3_1467_2361119_2312DC_3_CACD-BB-BG,High Flowline Pressure
94,1467_2361119_2312DC_3,2025-04-11 00:00:00.000,1467_2361119_2312DC_3_1467_2361119_2312DC_3_CACF-AE-BB,High Tubing Pressure
95,1467_2361119_2312DC_3,2025-10-21 00:00:00.000,1467_2361119_2312DC_3_1467_2361119_2312DC_3_CACF-BA-CB,High Downhole Gauge Pressure
96,71215_2361119_2312AH_3,2023-12-13 00:00:00.000,71215_2361119_2312AH_3_71215_2361119_2312AH_3_CACD-BC-BD,Failed To Set Optimized Qgi
97,712C,2024-02-23 00:00:00.000,712C_712C_CACE-AC-CD,Low Oil Rate
98,712C,2024-02-24 00:00:00.000,712C_712C_CACE-AC-CE,Liquid Loading Critical Rate Alert
99,712C,2024-02-26 00:00:00.000,712C_712C_CACE-AC-CG,Low Injection Rate
100,712C,2024-03-14 00:00:00.000,712C_712C_CACE-AD-BE,Low Water Rate
101,712C,2024-10-10 00:00:00.000,712C_712C_CACE-BA-BA,Communication Status
102,712C,2024-11-18 00:00:00.000,712C_712C_CACE-BB-BI,Multi Points Injection
103,712D,2024-02-23 00:00:00.000,712D_712D_CACE-AC-CD,Low Oil Rate
104,712D,2024-02-24 00:00:00.000,712D_712D_CACE-AC-CE,Liquid Loading Critical Rate Alert
105,712D,2024-02-26 00:00:00.000,712D_712D_CACE-AC-CG,High Casing Pressure
106,712D,2024-03-12 00:00:00.000,712D_712D_CACE-AD-BC,Low Gas Rate
107,712D,2024-03-14 00:00:00.000,712D_712D_CACE-AD-BE,High Tubing Pressure
108,712D,2024-04-10 00:00:00.000,712D_712D_CACE-AE-BA,Shallow Injection Depth
109,712D,2024-10-10 00:00:00.000,712D_712D_CACE-BA-BA,Communication Status
110,181812_1816153_2312BJ_5,2024-03-11 00:00:00.000,181812_1816153_2312BJ_5_181812_1816153_2312BJ_5_CACE-AD-BB,Rod String Unbalance
111,181812_1816153_2312BJ_5,2024-03-16 00:00:00.000,181812_1816153_2312BJ_5_181812_1816153_2312BJ_5_CACE-AD-BG,my saved card (100)
112,181812_1816153_2312BJ_5,2024-03-21 00:00:00.000,181812_1816153_2312BJ_5_181812_1816153_2312BJ_5_CACE-AD-CB,Low Pump Efficiency
113,181812_1816153_2312BJ_5,2024-04-18 00:00:00.000,181812_1816153_2312BJ_5_181812_1816153_2312BJ_5_CACE-AE-BI,Gearbox Unbalance
114,51916_37319_2312CC_3,2024-03-20 00:00:00.000,51916_37319_2312CC_3_51916_37319_2312CC_3_CACE-AD-CA,Low Flowing Differential Pressure
115,51916_37319_2312CC_3,2025-01-23 00:00:00.000,51916_37319_2312CC_3_51916_37319_2312CC_3_CACF-AB-CD,Derived Well Run Status: Stopped
116,71215_2361119_2312DG_3,2024-04-22 00:00:00.000,71215_2361119_2312DG_3_71215_2361119_2312DG_3_CACE-AE-CC,Multi Points Injection
117,71215_2361119_2312DG_3,2024-11-24 00:00:00.000,71215_2361119_2312DG_3_71215_2361119_2312DG_3_CACE-BB-CE,Derived Well Run Status: Stopped
118,71215_2361119_2312DG_3,2025-10-15 00:00:00.000,71215_2361119_2312DG_3_71215_2361119_2312DG_3_CACF-BA-BF,High Difference Between Actual And Optimized Liquid Rate
119,181812 AAB,2024-07-19 00:00:00.000,181812 AAB_181812 AAB_CACE-AH-BJ,Low Pump Efficiency
120,181812 AAB,2025-03-19 00:00:00.000,181812 AAB_181812 AAB_CACF-AD-BJ,Gearbox Unbalance
121,181812 AAB,2025-10-20 00:00:00.000,181812 AAB_181812 AAB_CACF-BA-CA,Pump Cycles Std Dev 7 Days
122,181812 AAB,2025-10-22 00:00:00.000,181812 AAB_181812 AAB_CACF-BA-CC,Pump Cycles Std Dev 15 Days
123,161221147518 129620 AAB,2024-07-21 00:00:00.000,161221147518 129620 AAB_161221147518 129620 AAB_CACE-AH-CB,Short Cycle Time
124,161221147518 129620 AAB,2025-10-20 00:00:00.000,161221147518 129620 AAB_161221147518 129620 AAB_CACF-BA-CA,High Flowline Pressure
125,161221147518 129620 AAB,2025-10-21 00:00:00.000,161221147518 129620 AAB_161221147518 129620 AAB_CACF-BA-CB,Low Gas Rate
126,161221147518 129620 AAB,2025-10-22 00:00:00.000,161221147518 129620 AAB_161221147518 129620 AAB_CACF-BA-CC,Low Gas Rate
127,16316_AAB,2024-09-11 00:00:00.000,16316_AAB_16316_AAB_CACE-AJ-BB,Low Water Rate
128,16316_AAB,2025-10-20 00:00:00.000,16316_AAB_16316_AAB_CACF-BA-CA,Low PIP
129,16712_2361119_2312BJ_3,2024-11-29 00:00:00.000,16712_2361119_2312BJ_3_16712_2361119_2312BJ_3_CACE-BB-CJ,Short Cycle Time
130,16712_2361119_2312BJ_3,2025-10-20 00:00:00.000,16712_2361119_2312BJ_3_16712_2361119_2312BJ_3_CACF-BA-CA,High Flowline Pressure
131,16712_2361119_2312BJ_3,2025-10-21 00:00:00.000,16712_2361119_2312BJ_3_16712_2361119_2312BJ_3_CACF-BA-CB,Low Gas Rate
132,16712_2361119_2312BJ_3,2025-10-22 00:00:00.000,16712_2361119_2312BJ_3_16712_2361119_2312BJ_3_CACF-BA-CC,Low Gas Rate
133,712_24 B,2025-01-21 00:00:00.000,712_24 B_712_24 B_CACF-AB-CB,Multi Points Injection
134,712_24 B,2025-01-30 00:00:00.000,712_24 B_712_24 B_CACF-AB-DA,Failed To Set Optimized Qgi
135,712_2019 E,2025-01-21 00:00:00.000,712_2019 E_712_2019 E_CACF-AB-CB,Shallow Injection Depth
136,712_2019 E,2025-01-23 00:00:00.000,712_2019 E_712_2019 E_CACF-AB-CD,Derived Well Run Status: Stopped
137,712_2019 E,2025-01-24 00:00:00.000,712_2019 E_712_2019 E_CACF-AB-CE,Failed To Set Optimized Qgi
138,712_238 C,2025-01-21 00:00:00.000,712_238 C_712_238 C_CACF-AB-CB,Multi Points Injection
139,712_238 C,2025-01-23 00:00:00.000,712_238 C_712_238 C_CACF-AB-CD,Derived Well Run Status: Stopped
140,712_238 C,2025-01-24 00:00:00.000,712_238 C_712_238 C_CACF-AB-CE,Failed To Set Optimized Qgi
141,712_238 E,2025-01-22 00:00:00.000,712_238 E_712_238 E_CACF-AB-CC,Derived Well Run Status: Stopped
142,712_238 E,2025-01-25 00:00:00.000,712_238 E_712_238 E_CACF-AB-CF,Failed To Set Optimized Qgi
143,712_238 E,2025-10-20 00:00:00.000,712_238 E_712_238 E_CACF-BA-CA,Actual Injection Depth Not Equal To Optimized Injection Depth
144,51916 AAAB,2025-01-23 00:00:00.000,51916 AAAB_51916 AAAB_CACF-AB-CD,Derived Well Run Status: Stopped
145,712_115 BC,2025-01-23 00:00:00.000,712_115 BC_712_115 BC_CACF-AB-CD,Derived Well Run Status: Stopped
146,712_115 BC,2025-01-24 00:00:00.000,712_115 BC_712_115 BC_CACF-AB-CE,Actual Injection Depth Not Equal To Optimized Injection Depth
147,712_115 BC,2025-06-13 00:00:00.000,712_115 BC_712_115 BC_CACF-AG-BD,Liquid Loading Critical Rate Alert
148,712_2019 H,2025-01-23 00:00:00.000,712_2019 H_712_2019 H_CACF-AB-CD,Derived Well Run Status: Stopped
149,712_2019 H,2025-01-24 00:00:00.000,712_2019 H_712_2019 H_CACF-AB-CE,Failed To Set Optimized Qgi
150,14623_AAB,2025-04-10 00:00:00.000,14623_AAB_14623_AAB_CACF-AE-BA,Low Water Rate
151,11114-C4512-71213,2025-07-29 00:00:00.000,11114-C4512-71213_11114-C4512-71213_CACF-AH-CJ,Qgi Equals To Maximum Qgi
152,11114-C4512-71213,2025-07-30 00:00:00.000,11114-C4512-71213_11114-C4512-71213_CACF-AH-DA,Failed To Set Optimized Qgi
153,11114-C4512-14612,2025-08-13 00:00:00.000,11114-C4512-14612_11114-C4512-14612_CACF-AI-BD,Low Water Rate
154,11114-C4512-14612,2025-08-14 00:00:00.000,11114-C4512-14612_11114-C4512-14612_CACF-AI-BE,Derived Well Run Status: Stopped
155,11114-C4512-71219,2025-10-18 00:00:00.000,11114-C4512-71219_11114-C4512-71219_CACF-BA-BI,Derived Well Run Status: Stopped
156,239_2361119_2312CC_3,2025-10-20 00:00:00.000,239_2361119_2312CC_3_239_2361119_2312CC_3_CACF-BA-CA,Low Tubing Temperature
157,239_2361119_2312CC_3,2025-10-21 00:00:00.000,239_2361119_2312CC_3_239_2361119_2312CC_3_CACF-BA-CB,Low Tubing Temperature
158,239_2361119_2312CC_3,2025-10-22 00:00:00.000,239_2361119_2312CC_3_239_2361119_2312CC_3_CACF-BA-CC,Low Tubing Temperature
