Entity,Time,key,AlarmStatus
"PGL_WFKS_WL26_E",2020-08-13 00:00:00.000,"PGL_WFKS_WL26_E_PGL_WFKS_WL26_E_2020-08-13","Short Cycle Time"
"PGL_WFKS_WL26_E",2025-08-30 00:00:00.000,"PGL_WFKS_WL26_E_PGL_WFKS_WL26_E_2025-08-30","Low Gas Rate"
"RRL_LUFK_WL07_C",2020-08-18 00:00:00.000,"RRL_LUFK_WL07_C_RRL_LUFK_WL07_C_2020-08-18","Gearbox Unbalance"
"RRL_LUFK_WL07_C",2023-05-05 00:00:00.000,"RRL_LUFK_WL07_C_RRL_LUFK_WL07_C_2023-05-05","Rod String Unbalance"
"RRL_LUFK_WL07_C",2024-12-17 00:00:00.000,"RRL_LUFK_WL07_C_RRL_LUFK_WL07_C_2024-12-17","severe Pump off (100)"
"NFC_WFKS_WL31_C",2021-01-14 00:00:00.000,"NFC_WFKS_WL31_C_NFC_WFKS_WL31_C_2021-01-14","High Flowline Pressure"
"NFC_WFKS_WL31_C",2025-10-22 00:00:00.000,"NFC_WFKS_WL31_C_NFC_WFKS_WL31_C_2025-10-22","High Downhole Gauge Pressure"
"NFW_WFKS_WL11_C",2021-01-14 00:00:00.000,"NFW_WFKS_WL11_C_NFW_WFKS_WL11_C_2021-01-14","High Flowline Pressure"
"NFW_WFKS_WL11_C",2025-10-19 00:00:00.000,"NFW_WFKS_WL11_C_NFW_WFKS_WL11_C_2025-10-19","High Downhole Gauge Pressure"
"NFW_WFKS_WL11_C",2025-10-22 00:00:00.000,"NFW_WFKS_WL11_C_NFW_WFKS_WL11_C_2025-10-22","Derived Well Run Status: Stopped"
"GLO_WFKS_WL38_C",2021-04-05 00:00:00.000,"GLO_WFKS_WL38_C_GLO_WFKS_WL38_C_2021-04-05","Multi Points Injection"
"GLO_WFKS_WL38_C",2021-04-06 00:00:00.000,"GLO_WFKS_WL38_C_GLO_WFKS_WL38_C_2021-04-06","High Difference Between Actual And Optimized Liquid Rate"
"GLO_WFKS_WL38_C",2021-05-04 00:00:00.000,"GLO_WFKS_WL38_C_GLO_WFKS_WL38_C_2021-05-04","Low Water Rate"
"GLO_WFKS_WL38_C",2021-06-24 00:00:00.000,"GLO_WFKS_WL38_C_GLO_WFKS_WL38_C_2021-06-24","Low Injection Rate"
"GLC_WFKS_WL34_C",2021-06-04 00:00:00.000,"GLC_WFKS_WL34_C_GLC_WFKS_WL34_C_2021-06-04","Low Injection Rate"
"GLC_WFKS_WL34_C",2022-09-23 00:00:00.000,"GLC_WFKS_WL34_C_GLC_WFKS_WL34_C_2022-09-23","Failed To Set Optimized Qgi"
"GLC_WFKS_WL34_C",2022-10-17 00:00:00.000,"GLC_WFKS_WL34_C_GLC_WFKS_WL34_C_2022-10-17","High Difference Between Actual And Optimized Liquid Rate"
"GLC_WFKS_WL34_C",2024-02-11 00:00:00.000,"GLC_WFKS_WL34_C_GLC_WFKS_WL34_C_2024-02-11","Derived Well Run Status: Stopped"
"GLC_WFKS_WL34_C",2025-10-22 00:00:00.000,"GLC_WFKS_WL34_C_GLC_WFKS_WL34_C_2025-10-22","Derived Well Run Status: Stopped"
"ESP_WFKS_WL14_C",2021-06-16 00:00:00.000,"ESP_WFKS_WL14_C_ESP_WFKS_WL14_C_2021-06-16","Derived Well Run Status: Stopped"
"ESP_WFKS_WL14_C",2024-03-20 00:00:00.000,"ESP_WFKS_WL14_C_ESP_WFKS_WL14_C_2024-03-20","Low Flowing Differential Pressure"
"ESP_WL_13_C",2021-06-16 00:00:00.000,"ESP_WL_13_C_ESP_WL_13_C_2021-06-16","Derived Well Run Status: Stopped"
"100/08-16-068-06W6",2021-06-23 00:00:00.000,"100/08-16-068-06W6_100/08-16-068-06W6_2021-06-23","Multi Points Injection"
"GL1",2024-02-24 00:00:00.000,"GL1_GL1_2024-02-24","Liquid Loading Critical Rate Alert"
"ESP_WL_13_C",2024-03-20 00:00:00.000,"ESP_WL_13_C_ESP_WL_13_C_2024-03-20","Low Flowing Differential Pressure"
"GLWELL02",2024-07-10 00:00:00.000,"GLWELL02_GLWELL02_2024-07-10","Derived Well Run Status: Stopped"
"GLWELL03",2024-07-10 00:00:00.000,"GLWELL03_GLWELL03_2024-07-10","Derived Well Run Status: Stopped"
"GLWELL04",2024-07-10 00:00:00.000,"GLWELL04_GLWELL04_2024-07-10","Derived Well Run Status: Stopped"
"GLWELL05",2024-07-10 00:00:00.000,"GLWELL05_GLWELL05_2024-07-10","Derived Well Run Status: Stopped"
"GLWELL01",2024-07-17 00:00:00.000,"GLWELL01_GLWELL01_2024-07-17","Liquid Loading Critical Rate Alert"
"GLWELL02",2024-07-17 00:00:00.000,"GLWELL02_GLWELL02_2024-07-17","Liquid Loading Critical Rate Alert"
"GLWELL03",2024-07-17 00:00:00.000,"GLWELL03_GLWELL03_2024-07-17","Multi Points Injection"
"GLWELL04",2024-07-17 00:00:00.000,"GLWELL04_GLWELL04_2024-07-17","Liquid Loading Critical Rate Alert"
"GLWELL01",2024-07-18 00:00:00.000,"GLWELL01_GLWELL01_2024-07-18","Failed To Set Optimized Qgi"
"GLWELL02",2024-07-18 00:00:00.000,"GLWELL02_GLWELL02_2024-07-18","Failed To Set Optimized Qgi"
"GLWELL03",2024-07-18 00:00:00.000,"GLWELL03_GLWELL03_2024-07-18","Failed To Set Optimized Qgi"
"GLWELL04",2024-07-18 00:00:00.000,"GLWELL04_GLWELL04_2024-07-18","Failed To Set Optimized Qgi"
"GLWELL05",2024-07-19 00:00:00.000,"GLWELL05_GLWELL05_2024-07-19","Liquid Loading Critical Rate Alert"
"GLWELL03",2024-07-20 00:00:00.000,"GLWELL03_GLWELL03_2024-07-20","High Difference Between Actual And Optimized Liquid Rate"
"GLWELL01",2024-07-23 00:00:00.000,"GLWELL01_GLWELL01_2024-07-23","High Difference Between Actual And Optimized Liquid Rate"
"GLWELL03",2024-07-23 00:00:00.000,"GLWELL03_GLWELL03_2024-07-23","Liquid Loading Critical Rate Alert"
"GLWELL04",2024-07-25 00:00:00.000,"GLWELL04_GLWELL04_2024-07-25","High Difference Between Actual And Optimized Liquid Rate"
"GLWELL05",2024-07-25 00:00:00.000,"GLWELL05_GLWELL05_2024-07-25","High Difference Between Actual And Optimized Liquid Rate"
"GL1",2024-09-24 00:00:00.000,"GL1_GL1_2024-09-24","Derived Well Run Status: Stopped"
"GL1",2024-10-10 00:00:00.000,"GL1_GL1_2024-10-10","Communication Status"
"100/08-16-068-06W6",2025-01-18 00:00:00.000,"100/08-16-068-06W6_100/08-16-068-06W6_2025-01-18","Failed To Set Optimized Qgi"
"100/08-16-068-06W6",2025-01-23 00:00:00.000,"100/08-16-068-06W6_100/08-16-068-06W6_2025-01-23","High Casing Pressure"
"GLWELL05",2025-01-24 00:00:00.000,"GLWELL05_GLWELL05_2025-01-24","Actual Injection Depth Not Equal To Optimized Injection Depth"
"ESP_WFKS_WL17_C",2021-06-16 00:00:00.000,"ESP_WFKS_WL17_C_ESP_WFKS_WL17_C_2021-06-16","Derived Well Run Status: Stopped"
"ESP_WFKS_WL17_C",2024-03-20 00:00:00.000,"ESP_WFKS_WL17_C_ESP_WFKS_WL17_C_2024-03-20","Low Flowing Differential Pressure"
"ESP_CGCS_WL19_C",2021-08-10 00:00:00.000,"ESP_CGCS_WL19_C_ESP_CGCS_WL19_C_2021-08-10","Derived Well Run Status: Stopped"
"ESP_CGCS_WL19_C",2024-03-20 00:00:00.000,"ESP_CGCS_WL19_C_ESP_CGCS_WL19_C_2024-03-20","Low Flowing Differential Pressure"
"ESP_CGCS_WL20_C",2021-08-11 00:00:00.000,"ESP_CGCS_WL20_C_ESP_CGCS_WL20_C_2021-08-11","Derived Well Run Status: Stopped"
"ESP_CGCS_WL20_C",2024-03-20 00:00:00.000,"ESP_CGCS_WL20_C_ESP_CGCS_WL20_C_2024-03-20","Low Flowing Differential Pressure"
"ESP_CGCS_WL21_C",2021-08-11 00:00:00.000,"ESP_CGCS_WL21_C_ESP_CGCS_WL21_C_2021-08-11","Derived Well Run Status: Stopped"
"ESP_CGCS_WL21_C",2024-03-20 00:00:00.000,"ESP_CGCS_WL21_C_ESP_CGCS_WL21_C_2024-03-20","Low Flowing Differential Pressure"
"ESP_CGCS_WL23_C",2021-08-11 00:00:00.000,"ESP_CGCS_WL23_C_ESP_CGCS_WL23_C_2021-08-11","Derived Well Run Status: Stopped"
"ESP_CGCS_WL23_C",2024-03-20 00:00:00.000,"ESP_CGCS_WL23_C_ESP_CGCS_WL23_C_2024-03-20","Low Flowing Differential Pressure"
"PGL_WFKS_WL16_C",2023-03-31 00:00:00.000,"PGL_WFKS_WL16_C_PGL_WFKS_WL16_C_2023-03-31","High Maximum Tubing Head Pressure"
"PGL_WFKS_WL16_C",2025-10-20 00:00:00.000,"PGL_WFKS_WL16_C_PGL_WFKS_WL16_C_2025-10-20","High Flowline Pressure"
"PGL_WFKS_WL16_C",2025-10-21 00:00:00.000,"PGL_WFKS_WL16_C_PGL_WFKS_WL16_C_2025-10-21","Low Gas Rate"
"PGL_WFKS_WL16_C",2025-10-22 00:00:00.000,"PGL_WFKS_WL16_C_PGL_WFKS_WL16_C_2025-10-22","Low Gas Rate"
"RRL_LUFK_WL03_E",2023-04-24 00:00:00.000,"RRL_LUFK_WL03_E_RRL_LUFK_WL03_E_2023-04-24","Gearbox Unbalance"
"RRL_LUFK_WL03_E",2023-05-16 00:00:00.000,"RRL_LUFK_WL03_E_RRL_LUFK_WL03_E_2023-05-16","severe Pump off (100)"
"RRL_LUFK_WL03_E",2023-10-19 00:00:00.000,"RRL_LUFK_WL03_E_RRL_LUFK_WL03_E_2023-10-19","High Beam Load"
"RRL_RPOC_WL18_C",2023-06-06 00:00:00.000,"RRL_RPOC_WL18_C_RRL_RPOC_WL18_C_2023-06-06","Rod String Unbalance"
"NFG_WFKS_WL32_C",2023-11-16 00:00:00.000,"NFG_WFKS_WL32_C_NFG_WFKS_WL32_C_2023-11-16","High Flowline Pressure"
"NFG_WFKS_WL32_C",2025-04-11 00:00:00.000,"NFG_WFKS_WL32_C_NFG_WFKS_WL32_C_2025-04-11","High Tubing Pressure"
"NFG_WFKS_WL32_C",2025-10-21 00:00:00.000,"NFG_WFKS_WL32_C_NFG_WFKS_WL32_C_2025-10-21","High Downhole Gauge Pressure"
"GLO_WFKS_WL07_C",2023-12-13 00:00:00.000,"GLO_WFKS_WL07_C_GLO_WFKS_WL07_C_2023-12-13","Failed To Set Optimized Qgi"
"GL2",2024-02-23 00:00:00.000,"GL2_GL2_2024-02-23","Low Oil Rate"
"GL2",2024-02-24 00:00:00.000,"GL2_GL2_2024-02-24","Liquid Loading Critical Rate Alert"
"GL2",2024-02-26 00:00:00.000,"GL2_GL2_2024-02-26","Low Injection Rate"
"GL2",2024-03-14 00:00:00.000,"GL2_GL2_2024-03-14","Low Water Rate"
"GL2",2024-10-10 00:00:00.000,"GL2_GL2_2024-10-10","Communication Status"
"GL2",2024-11-18 00:00:00.000,"GL2_GL2_2024-11-18","Multi Points Injection"
"GL3",2024-02-23 00:00:00.000,"GL3_GL3_2024-02-23","Low Oil Rate"
"GL3",2024-02-24 00:00:00.000,"GL3_GL3_2024-02-24","Liquid Loading Critical Rate Alert"
"GL3",2024-02-26 00:00:00.000,"GL3_GL3_2024-02-26","High Casing Pressure"
"GL3",2024-03-12 00:00:00.000,"GL3_GL3_2024-03-12","Low Gas Rate"
"GL3",2024-03-14 00:00:00.000,"GL3_GL3_2024-03-14","High Tubing Pressure"
"GL3",2024-04-10 00:00:00.000,"GL3_GL3_2024-04-10","Shallow Injection Depth"
"GL3",2024-10-10 00:00:00.000,"GL3_GL3_2024-10-10","Communication Status"
"RRL_RPOC_WL19_E",2024-03-11 00:00:00.000,"RRL_RPOC_WL19_E_RRL_RPOC_WL19_E_2024-03-11","Rod String Unbalance"
"RRL_RPOC_WL19_E",2024-03-16 00:00:00.000,"RRL_RPOC_WL19_E_RRL_RPOC_WL19_E_2024-03-16","my saved card (100)"
"RRL_RPOC_WL19_E",2024-03-21 00:00:00.000,"RRL_RPOC_WL19_E_RRL_RPOC_WL19_E_2024-03-21","Low Pump Efficiency"
"RRL_RPOC_WL19_E",2024-04-18 00:00:00.000,"RRL_RPOC_WL19_E_RRL_RPOC_WL19_E_2024-04-18","Gearbox Unbalance"
"ESP_CGCS_WL22_C",2024-03-20 00:00:00.000,"ESP_CGCS_WL22_C_ESP_CGCS_WL22_C_2024-03-20","Low Flowing Differential Pressure"
"ESP_CGCS_WL22_C",2025-01-23 00:00:00.000,"ESP_CGCS_WL22_C_ESP_CGCS_WL22_C_2025-01-23","Derived Well Run Status: Stopped"
"GLO_WFKS_WL36_C",2024-04-22 00:00:00.000,"GLO_WFKS_WL36_C_GLO_WFKS_WL36_C_2024-04-22","Multi Points Injection"
"GLO_WFKS_WL36_C",2024-11-24 00:00:00.000,"GLO_WFKS_WL36_C_GLO_WFKS_WL36_C_2024-11-24","Derived Well Run Status: Stopped"
"GLO_WFKS_WL36_C",2025-10-15 00:00:00.000,"GLO_WFKS_WL36_C_GLO_WFKS_WL36_C_2025-10-15","High Difference Between Actual And Optimized Liquid Rate"
"RRL 001",2024-07-19 00:00:00.000,"RRL 001_RRL 001_2024-07-19","Low Pump Efficiency"
"RRL 001",2025-03-19 00:00:00.000,"RRL 001_RRL 001_2025-03-19","Gearbox Unbalance"
"RRL 001",2025-10-20 00:00:00.000,"RRL 001_RRL 001_2025-10-20","Pump Cycles Std Dev 7 Days"
"RRL 001",2025-10-22 00:00:00.000,"RRL 001_RRL 001_2025-10-22","Pump Cycles Std Dev 15 Days"
"Plunger Lift 001",2024-07-21 00:00:00.000,"Plunger Lift 001_Plunger Lift 001_2024-07-21","Short Cycle Time"
"Plunger Lift 001",2025-10-20 00:00:00.000,"Plunger Lift 001_Plunger Lift 001_2025-10-20","High Flowline Pressure"
"Plunger Lift 001",2025-10-21 00:00:00.000,"Plunger Lift 001_Plunger Lift 001_2025-10-21","Low Gas Rate"
"Plunger Lift 001",2025-10-22 00:00:00.000,"Plunger Lift 001_Plunger Lift 001_2025-10-22","Low Gas Rate"
"PCP_001",2024-09-11 00:00:00.000,"PCP_001_PCP_001_2024-09-11","Low Water Rate"
"PCP_001",2025-10-20 00:00:00.000,"PCP_001_PCP_001_2025-10-20","Low PIP"
"PGL_WFKS_WL19_C",2024-11-29 00:00:00.000,"PGL_WFKS_WL19_C_PGL_WFKS_WL19_C_2024-11-29","Short Cycle Time"
"PGL_WFKS_WL19_C",2025-10-20 00:00:00.000,"PGL_WFKS_WL19_C_PGL_WFKS_WL19_C_2025-10-20","High Flowline Pressure"
"PGL_WFKS_WL19_C",2025-10-21 00:00:00.000,"PGL_WFKS_WL19_C_PGL_WFKS_WL19_C_2025-10-21","Low Gas Rate"
"PGL_WFKS_WL19_C",2025-10-22 00:00:00.000,"PGL_WFKS_WL19_C_PGL_WFKS_WL19_C_2025-10-22","Low Gas Rate"
"GL_BD 1",2025-01-21 00:00:00.000,"GL_BD 1_GL_BD 1_2025-01-21","Multi Points Injection"
"GL_BD 1",2025-01-30 00:00:00.000,"GL_BD 1_GL_BD 1_2025-01-30","Failed To Set Optimized Qgi"
"GL_TS 4",2025-01-21 00:00:00.000,"GL_TS 4_GL_TS 4_2025-01-21","Shallow Injection Depth"
"GL_TS 4",2025-01-23 00:00:00.000,"GL_TS 4_GL_TS 4_2025-01-23","Derived Well Run Status: Stopped"
"GL_TS 4",2025-01-24 00:00:00.000,"GL_TS 4_GL_TS 4_2025-01-24","Failed To Set Optimized Qgi"
"GL_WH 2",2025-01-21 00:00:00.000,"GL_WH 2_GL_WH 2_2025-01-21","Multi Points Injection"
"GL_WH 2",2025-01-23 00:00:00.000,"GL_WH 2_GL_WH 2_2025-01-23","Derived Well Run Status: Stopped"
"GL_WH 2",2025-01-24 00:00:00.000,"GL_WH 2_GL_WH 2_2025-01-24","Failed To Set Optimized Qgi"
"GL_WH 4",2025-01-22 00:00:00.000,"GL_WH 4_GL_WH 4_2025-01-22","Derived Well Run Status: Stopped"
"GL_WH 4",2025-01-25 00:00:00.000,"GL_WH 4_GL_WH 4_2025-01-25","Failed To Set Optimized Qgi"
"GL_WH 4",2025-10-20 00:00:00.000,"GL_WH 4_GL_WH 4_2025-10-20","Actual Injection Depth Not Equal To Optimized Injection Depth"
"ESP 0001",2025-01-23 00:00:00.000,"ESP 0001_ESP 0001_2025-01-23","Derived Well Run Status: Stopped"
"GL_KE 12",2025-01-23 00:00:00.000,"GL_KE 12_GL_KE 12_2025-01-23","Derived Well Run Status: Stopped"
"GL_KE 12",2025-01-24 00:00:00.000,"GL_KE 12_GL_KE 12_2025-01-24","Actual Injection Depth Not Equal To Optimized Injection Depth"
"GL_KE 12",2025-06-13 00:00:00.000,"GL_KE 12_GL_KE 12_2025-06-13","Liquid Loading Critical Rate Alert"
"GL_TS 7",2025-01-23 00:00:00.000,"GL_TS 7_GL_TS 7_2025-01-23","Derived Well Run Status: Stopped"
"GL_TS 7",2025-01-24 00:00:00.000,"GL_TS 7_GL_TS 7_2025-01-24","Failed To Set Optimized Qgi"
"NFW_001",2025-04-10 00:00:00.000,"NFW_001_NFW_001_2025-04-10","Low Water Rate"
"KAN-2DEL-GLM",2025-07-29 00:00:00.000,"KAN-2DEL-GLM_KAN-2DEL-GLM_2025-07-29","Qgi Equals To Maximum Qgi"
"KAN-2DEL-GLM",2025-07-30 00:00:00.000,"KAN-2DEL-GLM_KAN-2DEL-GLM_2025-07-30","Failed To Set Optimized Qgi"
"KAN-2DEL-NFL",2025-08-13 00:00:00.000,"KAN-2DEL-NFL_KAN-2DEL-NFL_2025-08-13","Low Water Rate"
"KAN-2DEL-NFL",2025-08-14 00:00:00.000,"KAN-2DEL-NFL_KAN-2DEL-NFL_2025-08-14","Derived Well Run Status: Stopped"
"KAN-2DEL-GLS",2025-10-18 00:00:00.000,"KAN-2DEL-GLS_KAN-2DEL-GLS_2025-10-18","Derived Well Run Status: Stopped"
"WI_WFKS_WL22_C",2025-10-20 00:00:00.000,"WI_WFKS_WL22_C_WI_WFKS_WL22_C_2025-10-20","Low Tubing Temperature"
"WI_WFKS_WL22_C",2025-10-21 00:00:00.000,"WI_WFKS_WL22_C_WI_WFKS_WL22_C_2025-10-21","Low Tubing Temperature"
"WI_WFKS_WL22_C",2025-10-22 00:00:00.000,"WI_WFKS_WL22_C_WI_WFKS_WL22_C_2025-10-22","Low Tubing Temperature"
